date,dwell,density,throughput,sog,multi_port,score,signal,price_today,price_tomorrow,edge,correct
2024-01-01,0.0,0.5,0.0,0.792,0.0,0.0,NEUTRAL,0.115,0.115,0.0,True
2024-01-02,0.0,0.458,0.005,0.777,0.0,0.0,NEUTRAL,0.115,0.115,0.0,True
2024-01-03,0.0,0.44,0.076,0.801,0.0,0.0,NEUTRAL,0.115,0.115,0.0,True
2024-01-04,0.0,0.529,0.174,0.807,0.0,0.0,NEUTRAL,0.115,0.115,0.0,True
2024-01-05,0.0,0.57,0.091,0.805,0.0,0.0,NEUTRAL,0.115,0.115,0.0,True
2024-01-06,0.0,0.56,0.027,0.799,0.0,0.0,NEUTRAL,0.115,0.115,0.0,True
2024-01-07,0.0,0.516,0.047,0.758,0.0,0.0,NEUTRAL,0.115,0.115,0.0,True
2024-01-08,0.0,0.55,0.073,0.819,0.0,0.0,NEUTRAL,0.115,0.115,0.0,True
2024-01-09,0.0,0.533,0.037,0.798,0.0,0.0,NEUTRAL,0.115,0.5,0.385,False
2024-01-10,0.0,0.466,0.052,0.728,0.0,0.0,NEUTRAL,0.5,0.5,0.0,True
2024-01-11,0.0,0.524,0.176,0.741,0.0,0.0,NEUTRAL,0.5,0.5,0.0,True
2024-01-12,0.0,0.584,0.067,0.828,0.0,0.0,NEUTRAL,0.5,0.5,0.0,True
2024-01-13,0.0,0.562,0.085,0.788,0.0,0.0,NEUTRAL,0.5,0.5,0.0,True
2024-01-14,0.0,0.536,0.0,0.805,0.0,0.0,NEUTRAL,0.5,0.25,-0.25,True
2024-01-15,0.0,0.518,0.059,0.8,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-01-16,0.0,0.577,0.083,0.815,0.0,0.0,NEUTRAL,0.25,0.2,-0.05,True
2024-01-17,0.0,0.594,0.04,0.772,0.0,0.0,NEUTRAL,0.2,0.2,0.0,True
2024-01-18,0.0,0.52,0.054,0.854,0.0,0.0,NEUTRAL,0.2,0.2,0.0,True
2024-01-19,0.0,0.536,0.073,0.736,0.0,0.0,NEUTRAL,0.2,0.2,0.0,True
2024-01-20,0.0,0.546,0.084,0.72,0.0,0.0,NEUTRAL,0.2,0.1,-0.1,True
2024-01-21,0.0,0.493,0.0,0.819,0.0,0.0,NEUTRAL,0.1,0.1,0.0,True
2024-01-22,0.0,0.528,0.004,0.795,0.0,0.0,NEUTRAL,0.1,0.1,0.0,True
2024-01-23,0.0,0.449,0.089,0.838,0.0,0.0,NEUTRAL,0.1,0.1,0.0,True
2024-01-24,0.0,0.445,0.05,0.804,0.0,0.0,NEUTRAL,0.1,0.25,0.15,False
2024-01-25,0.0,0.45,0.194,0.857,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-01-26,0.0,0.487,0.059,0.855,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-01-27,0.0,0.517,0.056,0.757,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-01-28,0.0,0.459,0.047,0.773,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-01-29,0.0,0.489,0.122,0.792,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-01-30,0.0,0.543,0.031,0.757,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-01-31,0.0,0.515,0.053,0.83,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-02-01,0.0,0.511,0.004,0.741,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-02-02,0.0,0.476,0.025,0.784,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-02-03,0.0,0.475,0.069,0.752,0.0,0.0,NEUTRAL,0.25,0.25,0.0,True
2024-02-04,0.0,0.486,0.111,0.83,0.0,0.0,NEUTRAL,0.25,0.1,-0.15,True
2024-02-05,0.0,0.549,0.095,0.829,0.0,0.0,NEUTRAL,0.1,0.1,0.0,True
